codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
210180,202512,1098,770915.0,703.39
210190,202512,4300,2926144.0,682.72
210193,202512,945,637493.0,676.03
210197,202512,1696,1256122.0,744.59
210200,202512,6295,4522951.0,723.56
210203,202512,4777,3565209.0,747.42
210207,202512,2520,1723600.0,684.78
210210,202512,6565,4661666.0,711.38
210215,202512,2082,1511153.0,727.92
210220,202512,7132,5238893.0,735.8
210230,202512,5338,3757283.0,705.59
210232,202512,9092,6623740.0,731.58
210235,202512,2270,1624921.0,716.14
210237,202512,3625,2538279.0,701.57
210240,202512,2151,1511263.0,704.22
210250,202512,5588,3957529.0,710.25
210255,202512,1682,1215432.0,723.9
210260,202512,4346,3122470.0,720.96
210270,202512,3354,2335483.0,698.41
210275,202512,2244,1562497.0,698.79
210280,202512,3783,2672076.0,707.65
210290,202512,6192,4198626.0,679.5
210300,202512,14225,9874047.0,697.71
210310,202512,2564,1734473.0,677.79
210312,202512,2630,1784018.0,686.69
210315,202512,3006,2200911.0,734.86
210317,202512,3699,2775736.0,752.03
210320,202512,22285,15319469.0,688.92
210325,202512,2670,1923546.0,743.26
210330,202512,19146,13850761.0,725.82
210340,202512,8827,6025666.0,684.04
210350,202512,8333,5833498.0,701.56
210355,202512,2913,2160132.0,743.08
210360,202512,10068,7204127.0,718.26
210370,202512,8248,5662408.0,689.28
210375,202512,1649,1177828.0,782.09
210380,202512,4375,3020946.0,693.83
210390,202512,2979,2139703.0,718.99
210400,202512,3469,2420093.0,700.06
210405,202512,4115,2835147.0,695.23
210407,202512,1390,997344.0,720.1
210408,202512,2374,1856477.0,783.65
210409,202512,3182,2293703.0,722.65
210410,202512,2529,1758140.0,699.34
210420,202512,3310,2413722.0,731.87
210430,202512,1992,1446682.0,728.07
210440,202512,3510,2500658.0,714.47
210450,202512,1774,1261847.0,714.12
210455,202512,2637,1848394.0,702.54
210460,202512,2334,1669643.0,717.2
210462,202512,1255,904811.0,722.12
210465,202512,2224,1538731.0,694.69
210467,202512,4700,3394588.0,724.57
210470,202512,1120,803344.0,719.2
210480,202512,13196,9844259.0,748.5
210490,202512,2133,1446549.0,680.41
210500,202512,5386,4080887.0,760.79
210510,202512,6614,4643415.0,703.12
210515,202512,2762,2030533.0,736.77
210520,202512,1993,1362906.0,685.22
210530,202512,28404,19771476.0,700.05
210535,202512,3287,2448047.0,746.36
210540,202512,9309,6707110.0,722.28
210542,202512,3904,2762486.0,709.97
210545,202512,1742,1255118.0,723.41
